Fp1	-92	-72
Fp2	92	72
AF7	-92	-54
AF3	-74	-65
AF4	74	65
AF8	92	54
F3	-60	-51
Fz	46	90
F4	60	51
T7	-92	0
FC5	-72	-21
C1	-23	0
C2	23	0
FC6	72	21
T8	92	0
CP3	-50	28
CPz	23	-90
CP4	50	-28
P5	-75	41
P1	-50	68
P2	50	-68
P6	75	-41
PO3	-74	65
POz	69	-90
PO4	74	-65
P7	-92	36
PO7	-92	54
PO8	92	-54
P8	92	-36
O1	-92	72
Oz	92	-90
O2	92	-72
